tweetID;userID;createdAt;tweet
1133990444445179906;3149077037;2019-05-30 06:56:05;RT @Selina05593790: Charlene und Samuel stellen ihr Projekt bei der Jury von @cassoftware vor. Sie wollen mit ihrer Plattform Leser mit und…
12334234134321543;1097872939951763456;2019-05-30 06:56:10;RT @easySmuu: BLABLA
996001658604748800;3149077037;2018-05-14 12:17:54;RT @VNooblo: Es sind außerdem viel schöne Tore gefallen, darunter auch das im Anhang! ⚽️\nIch wünsche auch allen E-Sportlern einen guten Sta…
850058158265565184;3149077037;2017-04-06 18:50:32;https://t.co/rSPXjXDg0a
850057298160627712;3149077037;2017-04-06 18:47:07;@Sakul6499 @XXLCreeper Happy birthday 🎂
844918022917832707;3149077037;2017-03-23 14:25:29;"Ich müsste dann mal saugen, bis gleich."\n@SpeedTrace 23.03.2017 15:24
842417874547445762;3149077037;2017-03-16 16:50:47;Der Moment, wenn du mit deiner Mutter bei einer Freundin von ihr bist und sie über ALLES Mögliche und UNMÖGLICHE reden..
\n
842093149380042752;3149077037;2017-03-15 19:20:26;@einfacheinfinn me
1121457894761873408;1097872939951763456;2019-04-25 16:56:12;Es sollte so normal sein. Nun aber gibt es Grund zur Freude! ☺️https://t.co/sSRS9puicw
1121058794761539587;1097872939951763456;2019-04-24 14:30:19;Mir reicht's... ich zieh um auf den Mars!! 😃\nhttps://t.co/0j4qAfo9aA
1120939834216996864;1097872939951763456;2019-04-24 06:37:37;RT @VDEinstitut: Damit hoch- und vollautomatisiertes Fahren von der Gesellschaft breit akzeptiert wird, muss immer aufklärbar sein, wer let…
1120939771612803072;1097872939951763456;2019-04-24 06:37:22;RT @AgenturL: Themen der "Innovation in Automation" Seminare von @Rutronik :\nPredictive Maintenance \n#ArtificialIntelligence \nVisual Comput…
1116971869607997440;1097872939951763456;2019-04-13 07:50:20;RT @CatherineSch: Bei aller Liebe für #Technik: Es scheint, als würde heute mehr Zeit &amp, Geld in #machinelearning investiert statt in #Bildu…
1113354285662777344;1097872939951763456;2019-04-03 08:15:21;RT @AgenturL: Fachartikel sind das meist genutzte Content-Format in der B2B-Kommunikation - allerdings dicht gefolgt von der Nr. 1 im B2C-S…
1113110643392024576;1097872939951763456;2019-04-02 16:07:12;RT @AgenturL: Auf der @hannover_messe spricht RTI darüber, wie sich die #Connectivity  Standards OPC UA, DDS und TSN in einem gemeinsamen A…
1113084145683574785;1097872939951763456;2019-04-02 14:21:55;Wer traut sich, gegen die KI zu spielen? @OmronAutomation #HM19 https://t.co/3LlGMiG1jM
1113063291608129537;1097872939951763456;2019-04-02 12:59:03;Da will ich nur eben alten Kollegen mal Hallo sagen, da darf ich einen kurzen Blick auf die schwedische Handelsmini… https://t.co/5jod5M8Av0
1113018208842379264;1097872939951763456;2019-04-02 09:59:54;Demonstration eines automatisierten Einbaus auf dem @HARTING_Group Stand in Halle 11 #HM19 https://t.co/icR0tt1Tw9
1112732868667686912;1097872939951763456;2019-04-01 15:06:04;RT @HaIIerMarkus: Wie nah ist der 5G-Standard an der Markteinführung? @Qualcomm veranstaltete dazu eine Konferenz in Paris - Tobias Schlich…
1112705238543286272;1097872939951763456;2019-04-01 13:16:16;Produktpremiere des neuen AX bei @Rittal #HM19 https://t.co/44bYAKG5G7
1112671191247015938;1097872939951763456;2019-04-01 11:00:59;Finde ich auch! @ElektronikNeo https://t.co/uUuvYKLq9j
1112670802464464898;1097872939951763456;2019-04-01 10:59:26;RT @Der_BDI: 🗳Jetzt abstimmen! Welcher #Trend auf der #hm19 wird langfristig die größten Auswirkungen auf die #Industrie haben? #Industrie40
1112642710924599301;1097872939951763456;2019-04-01 09:07:48;RT @ElektronikTweet: Das hätten wir uns als #Schüler immer gewünscht: Einen elektronischen #Stift oder #Kugelschreiber, bei dem #KI / #AI d…
1112622000923701248;1097872939951763456;2019-04-01 07:45:31;Das erste, was ich auf der #HM19 sehe: ein Roboter-Laserschwertkampf! 😀 https://t.co/JwGqK5bL43
1112621614275981312;1097872939951763456;2019-04-01 07:43:59;RT @ElektronikNeo: Euer Büro-Urwald ertrinkt in braunen Blättern und Gießen ist nicht so Euer Ding? Dann ist das smarte Bewässerungssystem,…
1109046509834784768;1097872939951763456;2019-03-22 10:57:47;Mit diesen Tipps können wir alle Wasser sparen! 💪 https://t.co/u8nekNuTnw
1131319295571582976;4485375682;2019-05-22 22:01:53;HAHAHA https://t.co/rELGDYo01m
1109046307757457408;1097872939951763456;2019-03-22 10:56:59;RT @ZDFheute: #Weltwassertag: Der Zugang zu sauberem #Wasser ist ein #Menschenrecht - und für uns in #Deutschland selbstverständlich. Doch…
1109038270858649601;1097872939951763456;2019-03-22 10:25:03;Würden wir nur alle die Welt mit Kinderaugen betrachten... Herrlich! 🙂 https://t.co/gjfFxJNn5y
1108772340882685953;1097872939951763456;2019-03-21 16:48:20;Wir waren auf der @MakeMunich\nund es hat riesen Spaß gemacht! #maker #diy  https://t.co/Yuk5TjvOV4
1108643879606276096;1097872939951763456;2019-03-21 08:17:53;@b3rndl Zuerst den Artikel lesen, bevor man unsachgemäß kommentiert, könnte diese Diskussion bereichern. 😉
1108614815617028096;1097872939951763456;2019-03-21 06:22:23;Sprache ist Macht! https://t.co/IcC61i6hZ6
1108318752997863424;1097872939951763456;2019-03-20 10:45:56;#Weltglueckstag #Fruehlingsanfang und #Bergfest auf einmal! Happy Day euch! :) https://t.co/WBEvVUzvnm
1108054340500107264;1097872939951763456;2019-03-19 17:15:16;So sehen Sieger aus. #pdj2019 https://t.co/PkXUBSvQPb
1108031762339450880;1097872939951763456;2019-03-19 15:45:33;Heute im @BJVde Seminar gelernt: die #sixwordstory. Hier ist meine:\nGirl. Becoming a woman. Called girl. https://t.co/RlONrEVBAG
1108028630498795520;1097872939951763456;2019-03-19 15:33:06;@ElektronikNeo @BJVde Eine lange Liste sogar! Stellt den Kaffee schon mal bereit. 😉
1108025488763768839;1097872939951763456;2019-03-19 15:20:37;Heute im Seminar beim @BJVde kennengelernt: #sixwordstory. Mit nur 6 Worten eine ganze Geschichte erzählen? Das geht!
1107972270616690689;1097872939951763456;2019-03-19 11:49:09;RT @PHYTEC_Gmbh: Congratulations to the entire #PHYTEC team &amp, @NXP and many thanks to all readers of @ElektronikTweet Magazin and @elektron…
1107961237093130242;1097872939951763456;2019-03-19 11:05:18;RT @BLugger: Viele Lernmaschinen, die heute im Einsatz sind, fahren eigentlich Clever-Hans-Strategien. Das ist weder sicher noch nachvollzi…
1107935024958095360;1097872939951763456;2019-03-19 09:21:09;Bin gespannt, was ich heute im Seminar lerne 😁 @BJVde #socialmedia https://t.co/MpZqpxIDos
1107902178809786368;1097872939951763456;2019-03-19 07:10:37;RT @energy_charts_d: Und noch ein neuer REKORD!\nErneuerbare Energien haben in Kalenderwoche 11 fast 67% zur öffentlichen Nettostromerzeugun…
1107764840339251201;1097872939951763456;2019-03-18 22:04:53;RT @GerhardStelzer: Jensen Huang @nvidia, Keynote #GTC19: Nvidia #Turing RTX ermöglicht #fotorealistische #Videospiele in #Echtzeit. Mittle…
1107764784928296960;1097872939951763456;2019-03-18 22:04:40;RT @GerhardStelzer: Jensen Huang, CEO von @nvidia freut sich in seiner Keynote an der San Jose State zur #GTC19 über ein Wachstum von 50 %…
1106646949493641221;1097872939951763456;2019-03-15 20:02:47;RT @tangi6l: Bonn auf der Straße! #FridaysForFuture #Bonn #Münsterplatz https://t.co/uQwmRbj9J5
1106645485752893442;1097872939951763456;2019-03-15 19:56:58;RT @ElektronikTweet: Herzlichen Glückwunsch! 🎉 https://t.co/yRn04CIfcG
1106645072249044993;1097872939951763456;2019-03-15 19:55:20;RT @IQDfrequency: We are pleased to announce that IQD has received 1st place out of 11 nominations for the Product of the Year award in the…
1106471593855909888;1097872939951763456;2019-03-15 08:25:59;RT @SawsanChebli: Schwarzer Tag. 40 Tote bei Terrorangriff auf Muslime. Diese Menschen sind nicht Opfer eines einzelnen Mörders. Sie sind O…
1106287308322549761;1097872939951763456;2019-03-14 20:13:42;RT @krolljo: Glückliche Preisträger #pdj2019 https://t.co/jXWCf8wuyw
1106287281634242561;1097872939951763456;2019-03-14 20:13:36;RT @krolljo: Lebhafte Diskussion und gegenseitiges Gratulieren bei den #pdj2019 https://t.co/W3jvgM11MK
1106287058362994688;1097872939951763456;2019-03-14 20:12:43;RT @CRDeinhardt: Da ich die Oscars in diesem Jahr verpasst habe, gugg ich mir heute die Verleihung der Produkte des Jahres 2019 an.... Und…
1106131914174459904;1097872939951763456;2019-03-14 09:56:13;RT @elektroniknet: Kann KI in moralischen Kategorien denken, wie der Mensch? Sicherlich nicht, aber Forscher der TU Darmstadt sind überzeug…
1105467084153204736;1097872939951763456;2019-03-12 13:54:26;RT @AnonNewsDE: Liebes World Wide Web, heute vor 30 Jahren konnte man dich das erste Mal öffentlich verwenden und z.B. die ersten Domains r…
1105370999447580672;1097872939951763456;2019-03-12 07:32:37;RT @KidsDigitalDE: Ein paar Eindrücke von unserem Roboter Special vom Wochenende. Vielen Dank an alle Mentoren und @makerspace_ef @bytespei…
1105370467899240448;1097872939951763456;2019-03-12 07:30:30;RT @elektroniknet: Die offene RISC-V Befehlsarchitektur - Ein Praxisbericht: https://t.co/CpmYXaRg7a
1105070523791429632;1097872939951763456;2019-03-11 11:38:38;RT @we_online: During @embedded_world 2019, the #WE_eiSosGroup won the first place of the Ad Award 2018 by @MarktTechTweets for the adverti…
1105070479172349954;1097872939951763456;2019-03-11 11:38:28;RT @HaIIerMarkus: Die Entwicklung von LiFi steht noch am Anfang, nimmt nun aber Fahrt auf. In einigen Bereichen kann die Technik WiFi ergän…
1105070176234549253;1097872939951763456;2019-03-11 11:37:15;RT @MarktTechTweets: Elektronische Bauteile sind entscheidend für eine florierende Wirtschaft in Deutschland und Europa.  Wie können wir di…
1104284282678362112;1097872939951763456;2019-03-09 07:34:24;RT @campact: Kann man kurz vor dem #Weltfrauentag so sagen – ist aber halt gaga. https://t.co/vaYpCe7wAJ
1103990936818909185;1097872939951763456;2019-03-08 12:08:45;https://t.co/x1ykx44KeB
1103969184583688192;1097872939951763456;2019-03-08 10:42:19;RT @ZVEIorg: #Weltfrauentag: In der #Elektroindustrie können wir noch viel mehr #Frauenpower 💪gebrauchen. Für die Branche werben wir mit de…
1103969000915197957;1097872939951763456;2019-03-08 10:41:35;RT @elektroniknet: Der elektroniknet-Videorückblick auf die @embedded_world 2019. Das ganze Video gibt es hier: https://t.co/1DO55NbB0e #ew…
1103968704461787137;1097872939951763456;2019-03-08 10:40:24;RT @RedaktionME: Krux an solchen Erhebungen: Sie schaffen zwar ein Problem, präsentieren aber selten Lösungen. Damit Frauen in Branchen stä…
1103917321561600000;1097872939951763456;2019-03-08 07:16:13;RT @ZDF: Heute ist #Weltfrauentag! Der Weg zur Gleichberechtigung ist noch lange nicht zu Ende... #Frauentag #ZDFrauenpower 💪🏼 https://t.co…
1103916573113253890;1097872939951763456;2019-03-08 07:13:15;RT @heuteplus: Wo bleibt die #Gleichberechtigung? Was die #Frauenbewegung erreicht hat … und was noch nicht: #weltfrauentag #StarkeFrauenSt…
1103914829113245696;1097872939951763456;2019-03-08 07:06:19;RT @Kontrast_at: Emmeline Pankhurst war eine der radikalsten Kämpferinnen der britischen Frauenbewegung. Sie forderte das Frauenstimmrecht…
1103913929166610433;1097872939951763456;2019-03-08 07:02:45;RT @ZDFheute: Heute ist #Weltfrauentag: Das ist wichtig, denn noch immer verdienen #Frauen in #Deutschland weniger #Geld als Männer, sind s…
1103913862015774721;1097872939951763456;2019-03-08 07:02:29;RT @BR_quer: #Weltfrauentag: Laut einer Studie der Weltbank sind in nur 6 Ländern weltweit Frauen und Männer gleichberechtigt. Deutschland…
1103719385846427648;1097872939951763456;2019-03-07 18:09:42;RT @ZVEIorg: #Frauentag: In der #Elektroindustrie können wir noch viel mehr #Frauenpower 💪gebrauchen. Dafür unterstützen wir u.a. @WoMenPow…
1103700378300936192;1097872939951763456;2019-03-07 16:54:10;RT @foresight_lab: Als erklärter NICHT-Katzenbilder-Fan muss ich doch sagen, ein so in mehrfacher Weise souveräner Umgang mit Technik (Robo…
1132730779883245568;520408708;2019-05-26 19:30:37;@Kishin_Sensei @_Evalein @GerlindeInaktiv @bakhall good point
1103574724532162560;1097872939951763456;2019-03-07 08:34:52;RT @embedded_world: #ew19 closing report is online now: https://t.co/PW4lkdg9DE It was a pleasure to have you here - Have a look: https://t…
1103574430633082880;1097872939951763456;2019-03-07 08:33:42;RT @autopfeffer: #ew19 #automotive #formele Und hier geht's nun zum Video des Interviews mit Pascal Wehrlein: https://t.co/GhKAahD6H1 @PWeh…
1102912764505403393;1097872939951763456;2019-03-05 12:44:28;"Die #Startup-Förderung in Deutschland ist noch sehr ausbaufähig," meint Robin Sho Moser, CEO von @eyecandylab\nMehr… https://t.co/6GnqcmX26B
1102894643631529986;1097872939951763456;2019-03-05 11:32:28;@eyecandylab sucht übrigens auch noch talents: https://t.co/vzpfCHKWUp\nMehr über das Unternehmen und die… https://t.co/27lZLUozpK
1102880312982491139;1097872939951763456;2019-03-05 10:35:31;Gerade habe ich ein spannendes Interview mit Robin Sho Moser, CEO von @eyecandylab geführt. Durch #AR wird #TV und… https://t.co/mSZz24fPw4
1102873710917226497;1097872939951763456;2019-03-05 10:09:17;RT @matthaeushose: "Zukunft? Warum nicht!" - Der MEDIA SUMMIT 2019 https://t.co/2vfE0Q97BB via @YouTube
1102255491634417665;1097872939951763456;2019-03-03 17:12:42;RT @kojote: @ElektronikNeo selfie #makemunich https://t.co/B0xObJ2ls9
1102222309161660416;1097872939951763456;2019-03-03 15:00:51;RT @ElektronikNeo: Mission erfüllt: 2,5 Stunden vorm Ende der @MakeMunich haben wir die letzten Hefte der  Elektronik neo verteilt. Yay! #m…
1102206946948583424;1097872939951763456;2019-03-03 13:59:48;Schrott-Roboter-Kampf #hebocon #makemunich2019 @ElektronikNeo https://t.co/s3cy6iW4XO
1102194492864634880;1097872939951763456;2019-03-03 13:10:19;Und schon sind alle fleißig am werkeln #kidsforever #makemunich2019 #retrogame @ElektronikNeo https://t.co/oT3ChJ4A7P
1102189214794424320;1097872939951763456;2019-03-03 12:49:21;Alle warten schon gespannt, bis sie endlich los basteln dürfen 😄 #makemunich2019 @ElektronikNeo https://t.co/K4nDlEWdUi
1102180333653557248;1097872939951763456;2019-03-03 12:14:03;RT @ElektronikNeo: Hoher Besuch an unserem Stand: @Trinamic_MC hat übrigens fast genauso coole Shirts wie wir! #MakeMunich #makemunich2019…
1102179860984811520;1097872939951763456;2019-03-03 12:12:11;Mit der modularen SPS von @SiemensDE wird Laden mit Wechselstrom und Schnellladen an einer Station möglich.… https://t.co/DBRy1BlPm0
1102177423305728001;1097872939951763456;2019-03-03 12:02:29;RT @ElektronikNeo: Urban Gardending ist nicht nur nützlich, sondern kann auch richtig hübsch aussehen. Besonders am Stand von @we_online #m…
1102177243634253826;1097872939951763456;2019-03-03 12:01:47;Letzte Chance heute! Wir starten pünktlich um 14 Uhr #makemunich2019 @ElektronikNeo @franzisverlag #retrogame #DIY https://t.co/j1QSkqfBEM
1102176213198606342;1097872939951763456;2019-03-03 11:57:41;RT @ElektronikNeo: Ihr wollt noch ein neo-Shirt? Dann aber schnell bevor sie weg sind! #MakeMunich #makemunich2019 #Maker @MakeMunich\n\nSpon…
1102161856871972864;1097872939951763456;2019-03-03 11:00:38;#flipdot #makemunich @MakeMunich @ElektronikNeo https://t.co/WOX0Zk6q1Q
1102160521137131521;1097872939951763456;2019-03-03 10:55:20;RT @A_Loetzsch: Day 2 at #makemunich. Siemens area is again crowded 😄 Proud zu be part of #teamsiemens 😎 #makethefutureyours https://t.co/8…
1101829215584964609;1097872939951763456;2019-03-02 12:58:50;Fleißiges zusammenbauen am neo-Stand 😄 #makemunich2019 @MakeMunich @ElektronikNeo https://t.co/QlveoteEOT
1101786979287617537;1097872939951763456;2019-03-02 10:11:00;Lust auf einen Cocktail vom digitalen Barkeeper? 😋 @MakeMunich #Maker https://t.co/YMNlQqqOfg
1101778082334158848;1097872939951763456;2019-03-02 09:35:39;Morgens halb elf auf der @MakeMunich\nKommt vorbei und gewinnt eine smart watch! Das Abo bekommt ihr natürlich auch… https://t.co/nVFVxFo9FX
1101774735183097856;1097872939951763456;2019-03-02 09:22:21;RT @ElektronikNeo: Schnell noch ein paar neo-Shirts falten und los geht's! @MakeMunich #makemunich2019 https://t.co/q4C5oRsu3t
1101513976788250624;1097872939951763456;2019-03-01 16:06:11;RT @HaIIerMarkus: "Viele Embedded-Entwickler müssen zu Generalisten werden", meint @tektronix Präsident Mark Tremblay. Seine Antwort: J…
1101513769145065472;1097872939951763456;2019-03-01 16:05:22;RT @iLoveOpenStack: Aufklappen wie beim Auto ein Traum #nerdistan #MakeMunich https://t.co/YCiLoTbqtq
1101513696180948993;1097872939951763456;2019-03-01 16:05:04;RT @HaIIerMarkus: Podiumsdiskussion auf der Embedded World:\n"Bei KI fehlt ein passender rechtlicher Rahmen"\n#ew19 #KI #embeddedworld2019…
1101386749580926977;1097872939951763456;2019-03-01 07:40:38;RT @gruene_jugend: Hi 🌍. Dir geht's dreckig und heiß ist dir auch, denn die Generationen vor uns sind nicht gut mit dir umgegangen. Aber ke…
1101386551823687686;1097872939951763456;2019-03-01 07:39:51;RT @elektroniknet: Der 3. Messetag auf der @embedded_world 2019 im 99-Sekunden-Video: Student Day: Keynote von Dr. Ralf G. Herrtwich +++ Ex…
1101386398266019840;1097872939951763456;2019-03-01 07:39:14;RT @MakeMunich: Was gibt´s denn nun alles auf der #MakeMunich zu sehen und zu machen?\n\nListe aller Aussteller: https://t.co/CpG0RDAPqR\n\nDas…
1101200214768144384;1097872939951763456;2019-02-28 19:19:25;RT @Steff_now: Schon gehört - Neuer Artikel bei Elektronik neo. https://t.co/YYHiSBUuUU\nMit Antriebstechnik besseren Kaffee kochen? #kaffee
1101138688791199744;1097872939951763456;2019-02-28 15:14:56;RT @ElektronikNeo: Carolin Knöchel erzählt uns auf unserer Vip-Bühne mehr über das Bachelor-Programm STUP von @we_online #ew19 @ElektronikT…
1101047928527949824;1097872939951763456;2019-02-28 09:14:17;Auch am letzten Messe-Tag ist viel Programm auf der VIP-Bühne! Kommt vorbei! #ew19 Halle 3A, Stand 410… https://t.co/EpGrvbUvFo
1100796949396107264;1097872939951763456;2019-02-27 16:36:59;RT @FlutlichtPR: Am Stand von @TeamNexperia (4A-338) messen wir uns mit einem computergesteuerten Gegner. #ew19 ^SK https://t.co/VxizSj5Vym
1100769404369944576;1097872939951763456;2019-02-27 14:47:31;RT @autopfeffer: #ew19 #automotive #formele Auf der embedded world 2019 sprachen wir am Renesas-Stand mit Formel-E-Rennfahrer Pascal Wehrle…
1100725380393168898;1097872939951763456;2019-02-27 11:52:35;Wer die #embedded #vision panel discussion auf dem Aussteller Forum in Halle 2 heute verpasst hat, kann sie morgen… https://t.co/xvJ5HaDffO
1100720866688679936;1097872939951763456;2019-02-27 11:34:39;Bei @MouserElec kann man was gewinnen. Good luck! 🍀 #ew19 https://t.co/81OEknLTy4
1100513705262043136;1097872939951763456;2019-02-26 21:51:28;RT @autopfeffer: #ew19 #Automotive Auf der VIP-Bühne der ⁦@MarktTechTweets⁩ und der ⁦@ElektronikTweet⁩ spricht Chefredakteur ⁦@GerhardStelz…
1100513010710470656;1097872939951763456;2019-02-26 21:48:42;RT @HaIIerMarkus: Embedded World 2019 - mal aus der Perspektive unserer gläsernen Redaktion am Messestand.\n#ew19 https://t.co/qaKUxwLKwt
1100512933535248386;1097872939951763456;2019-02-26 21:48:24;RT @elektroniknet: Die Highlights des 1. Messetages auf der @embedded_world 2019 im 99-Sekunden-Video: embbeded world 19: Größer und jünger…
1100445530839232512;1097872939951763456;2019-02-26 17:20:34;RT @MarktTechTweets: Ein kleiner Hinweis an der gläsernen Redaktion auf der #ew19 - nur zur Sicherheit... https://t.co/eGPIZN3atA
1100392168831836160;1097872939951763456;2019-02-26 13:48:32;Nettes Pressegeschenk von TQ-Systems passend zum Whiskey Lake-U! #ew19 https://t.co/pIAPGYn1xE
1122767919056863232;994852433917509633;2019-04-29 07:41:46;@GHG_Crew @vuptrox @NitroLeagueRL GGs
1100389672310751232;1097872939951763456;2019-02-26 13:38:36;RT @GerhardStelzer: Bereits 2015 konnte #DeepLearning in der #Bildverarbeitung die #Genauigkeit der menschlichen Wahrnehmung überrunden, ze…
1100370888518758400;1097872939951763456;2019-02-26 12:23:58;RT @FlutlichtPR: Spannende Vorträge: Auf der Bühne von @MarktTechTweets und @ElektronikTweet geht es um #IoT, #SmartCity und die passenden…
1100370804943003648;1097872939951763456;2019-02-26 12:23:38;RT @funkschau_de: Pascal Wehrlein im Gespräch mit Matthäus Hose und Ingo Kuss auf der #VIP Bühne von Markt &amp, Technik und Elektronik auf der…
1100347911827795968;1097872939951763456;2019-02-26 10:52:40;#ew19 @ElektronikTweet in Halle 3A, Stand 3A-410 https://t.co/Hf3Mq40Q0o
1100338942283526144;1097872939951763456;2019-02-26 10:17:01;RT @ElektronikNeo: Am Samstag geht es auf die #makemunich2019. Zur Vorbereitung haben wir einen unseren Baukästen ausprobiert, damit wir do…
1100312122196676609;1097872939951763456;2019-02-26 08:30:27;RT @GerhardStelzer: Die embedded world 2019 #ew19 startet. Die Besucher stehen in den Startlöchern... Auf eine erfolgreiche Messe. @Elektro…
1100280511103205376;1097872939951763456;2019-02-26 06:24:50;Auf geht's! Neuer Job, gleiche Messe 😄 #ew19
1098901192284033024;1097872939951763456;2019-02-22 11:03:55;Heute werden die Emojis schon 20 Jahre alt: https://t.co/y4oYX84d0S\nHerzlichen Glückwunsch! 🎉🎂🎈💐🎁🎊🍻 https://t.co/3TTMQyfLPp
1098621077155127296;1097872939951763456;2019-02-21 16:30:50;RT @elektroniknet: Nächste Woche geht´s los: Die VIP-Bühne auf der @embedded_world 2019: Vom 26. bis zum 28. Februar stehen in Nürnberg füh…
1098620286264623107;1097872939951763456;2019-02-21 16:27:42;RT @ElektronikNeo: Wir haben was, was @ElektronikTweet nicht hat: Tolle Shirts und einen Stand auf der @MakeMunich! Kommt also vorbei und l…
1098475678402572288;1097872939951763456;2019-02-21 06:53:05;RT @WevolverApp: “These hands are going to change my life”. Tilly lost her arms as a baby, and now she has two Hero Arms. by @openbionics\n#…
918910572737024000;717094755721736192;2017-10-13 18:45:27;@jesichrn Den Post hab ich nie gesehen
918909858870648832;717094755721736192;2017-10-13 18:42:37;@jesichrn Erinnert mich an CrashUP
918909621552779264;717094755721736192;2017-10-13 18:41:40;@sylencsylenc @einfacheinfinn @jesichrn @easySmuu Du natürlich auch kannte deinen @ aber auch nicht 👌
918909428820267008;717094755721736192;2017-10-13 18:40:54;@Sintexx_ PC Kaputt seid 1 Monat sorryyy
917768292001042433;717094755721736192;2017-10-10 15:06:26;@Schwabe98 Marlon schreib mir mal bitte
916991213101813760;717094755721736192;2017-10-08 11:38:36;@jesichrn Danke 😌
916990754941267969;717094755721736192;2017-10-08 11:36:47;@jesichrn Kannst du mir nen Link schicken wo man das kaufen kann
916976058540412928;717094755721736192;2017-10-08 10:38:23;@jesichrn Haha
916939218458251264;717094755721736192;2017-10-08 08:12:00;@einfacheinfinn Bitte nicht!  🙇
916647314336419840;717094755721736192;2017-10-07 12:52:04;@Gammlaha HAPPY BDAY GROSSER
874744733662404608;717094755721736192;2017-06-13 21:46:11;@einfacheinfinn Finn wir sind glaube ich Seelenverwandte🌹😂
856203513625325568;717094755721736192;2017-04-23 17:49:59;@ruhrpottattacke Okey okey. ,)
854838806926815234;717094755721736192;2017-04-19 23:27:08;@EUDevNet Steht dieses angebot noch von ihnen?.
854739682885873665;717094755721736192;2017-04-19 16:53:15;@ClayzDE @GetVance_DEV  Bezüglich meiner Frage von gerade ebend. Wer sind die jetztigen Inhaber?.
854676374182866944;717094755721736192;2017-04-19 12:41:41;@ClayzDE Account*
854429855613693952;717094755721736192;2017-04-18 20:22:06;@Kleiineralsdrei Welcher?😯
853913810838663168;717094755721736192;2017-04-17 10:11:32;@DominikEnders_ Hoffe dein Tag verläuft gut!😊
853913519011528704;717094755721736192;2017-04-17 10:10:22;@xCookiieeMC Alles gute an die Person die mir sehr wichtig geworden ist.😊
853790018271367168;717094755721736192;2017-04-17 01:59:37;@Clavrax Solltest du jetzt können.
853542155595517952;717094755721736192;2017-04-16 09:34:42;@Clavrax Max, könntest du mir eine DM schreiben habe ein kleines anliegen um es anders auszudrücken eine kleine Frage.😊
852669126501969920;717094755721736192;2017-04-13 23:45:36;@phlppsvh @_qlow @MindMcBuildteam @VortexBuildings Phil ich weiße dich darauf hin das ich LRS habe &amp, mir deine meinung dazu sehr egal ist.
852536987135475712;717094755721736192;2017-04-13 15:00:31;@_qlow Ich kann ihnen nur das @MindMcBuildteam oder das @VortexBuildings Buildteam weiter empfehlen.
852453875080732672;717094755721736192;2017-04-13 09:30:16;@Kleiineralsdrei ❤😂
852450499819425792;717094755721736192;2017-04-13 09:16:51;@Kleiineralsdrei @Verium Du magst die musik doch garnicht?😂😂
852093913351499776;717094755721736192;2017-04-12 09:39:54;@Kleiineralsdrei Standart👌
851738959742996480;717094755721736192;2017-04-11 10:09:27;@discordapp Ich fimd Discord einfach perfekt vorallem das der Support so unheimlich schnell ist👌
851020150476353538;717094755721736192;2017-04-09 10:33:09;@EgyBoy_ okey.😐
851018669459156992;717094755721736192;2017-04-09 10:27:16;@EgyBoy_ Egy sehe ich da etwa die Revelix 2.0😊
851018074388037632;717094755721736192;2017-04-09 10:24:54;@LetzMore @EgyBoy_ eindeutig👌😂
851017323402194945;717094755721736192;2017-04-09 10:21:55;@Kleiineralsdrei Retweetest du eigentlich alles?😌
850400323919372289;717094755721736192;2017-04-07 17:30:11;@Sintexx_ Uhhh
838477359288320000;717094755721736192;2017-03-05 19:52:35;@einfacheinfinn leider net😐
838339685390893056;717094755721736192;2017-03-05 10:45:31;@einfacheinfinn Die ts icons hehe❤😋
838085380909981696;717094755721736192;2017-03-04 17:55:00;@einfacheinfinn TS? :D